Genetic Cores: 10, Tasks: 21
N;Best;Avg
0;39;67.4052
1;39;50.8767
2;38;45.1171
3;38;42.9848
4;36;42.1
5;36;41.319
6;36;40.6238
7;36;39.7543
8;36;39.2186
9;36;39.0386
10;36;38.791
11;36;38.6948
12;36;38.8724
13;36;38.8762
14;36;38.7757
15;36;38.8319
16;36;38.4943
17;36;38.4233
18;36;38.6129
19;36;38.3838
20;36;38.5767
21;36;38.4857
22;35;38.6
23;35;38.5124
24;35;38.3876
25;35;38.3086
26;35;38.1648
27;35;38.2143
28;35;38.1105
29;35;37.7305
30;34;37.6371
31;34;37.4033
32;34;37.4105
33;34;37.131
34;34;37.2295
35;34;37.3067
36;34;37.0757
37;34;37.1557
38;34;37.0729
39;34;36.9143
40;34;37.0381
41;34;37.0129
42;34;37.101
43;34;37.0862
44;34;37.0571
45;34;37.0243
46;34;37.1271
47;34;37.0124
48;34;37.0271
49;34;36.9243
50;34;36.8614
51;34;36.9576
52;34;36.8105
53;34;37.0457
54;34;37.0805
55;34;36.9148
56;34;36.97
57;34;36.7214
58;34;36.8829
59;34;37.0681
60;34;36.8605
61;34;37.0724
62;34;36.8257
63;34;37.0214
64;34;36.9886
65;34;36.901
66;34;37.0314
67;34;36.9571
68;34;36.9338
69;34;36.9214
70;34;36.9162
71;34;36.9281
72;34;36.9105
73;34;36.9043
74;34;36.8086
75;34;36.8662
76;34;36.8229
77;34;36.921
78;34;36.8671
79;34;36.9024
80;34;36.819
81;34;36.9281
82;34;36.669
83;34;36.7919
84;34;36.7281
85;34;36.8895
86;34;36.781
87;34;36.8814
88;34;36.8271
89;34;36.7995
90;34;36.761
91;34;36.8024
92;34;36.9014
93;34;36.7486
94;34;36.7905
95;34;36.75
96;34;36.7362
97;34;36.8176
98;34;36.6819
99;34;36.6205
100;34;36.7705
101;34;36.6838
102;34;36.5819
103;34;36.4695
104;34;36.5943
105;34;36.729
106;34;36.52
107;34;36.5467
108;34;36.3757
109;34;36.4986
110;34;36.6176
111;34;36.4295
112;34;36.6105
113;34;36.3848
114;34;36.5362
115;34;36.3652
116;34;36.4676
117;34;36.469
118;34;36.3633
119;34;36.3271
120;34;36.3233
121;34;36.549
122;34;36.479
123;34;36.3514
124;34;36.3181
125;34;36.3714
126;34;36.3262
127;34;36.3967
128;34;36.59
129;34;36.4757
130;34;36.4505
131;34;36.5438
132;34;36.4357
133;34;36.3524
134;34;36.3386
135;34;36.52
136;34;36.4252
137;34;36.4457
138;34;36.5771
139;34;36.381
140;33;36.4748
141;33;36.6033
142;33;36.231
143;33;36.2976
144;33;36.4076
145;33;36.3605
146;33;36.3676
147;33;36.5057
148;33;36.1067
149;33;36.0943
150;33;36.4019
151;33;36.21
152;33;36.2229
153;33;36.2876
154;33;36.2238
155;33;36.2443
156;33;36.2167
157;33;36.2452
158;33;36.241
159;33;36.1652
160;33;36.0352
161;33;36.2433
162;33;36.2005
163;33;36.0867
164;33;36.0643
165;33;36.1929
166;33;36.2029
167;33;36.1129
168;33;36.0786
169;33;36.1762
170;33;36.1233
171;33;36.3014
172;33;36.0752
173;33;36.2252
174;33;36.1048
175;33;36.1876
176;33;36.0819
177;33;36.2119
178;33;36.1719
179;33;36.1643
180;33;36.0271
181;33;36.1662
182;33;35.9452
183;33;36.1476
184;33;36.0352
185;33;36.1176
186;33;36.209
187;33;36.0319
188;33;36.331
189;33;36.1071
190;33;36.0576
191;33;36.1324
192;33;36.1905
193;33;36.0448
194;33;36.039
195;33;36.219
196;33;36.2162
197;33;36.2086
198;33;36.0562
199;33;36.2005
200;33;35.9395
201;33;36.099
202;33;36.2452
203;33;36.1962
204;33;36.2962
205;33;36.2238
206;33;36.1914
207;33;36.2562
208;33;36.2181
209;33;36.1333
210;33;36.0719
211;33;36.241
212;33;36.2562
213;33;36.0157
214;33;36.1595
215;33;36.1295
216;33;36.1038
217;33;36.049
218;33;35.9224
219;33;35.8819
220;33;35.971
221;33;35.9667
222;33;35.9733
223;33;36.1167
224;33;35.8867
225;33;36.0924
226;33;35.9962
227;33;36.0381
228;33;36.1381
229;33;35.9976
230;33;35.9114
231;33;35.7643
232;33;36.0357
233;33;35.9229
234;33;36.07
235;33;36.0095
236;33;36.0262
237;33;35.8871
238;33;36.0157
239;33;35.861
240;33;35.88
241;33;36.139
242;33;35.9529
243;33;35.9243
244;33;36.0571
245;33;35.799
246;33;35.979
247;33;35.8214
248;33;35.869
249;33;35.8867
250;33;36.0362
251;33;35.8886
252;33;36.0824
253;33;35.8129
254;33;36.0233
255;33;35.8329
256;33;35.8267
257;33;35.6895
258;33;35.9305
259;33;35.7767
260;33;35.8952
261;33;35.6981
262;33;35.8424
263;33;35.8181
264;33;35.8929
265;33;35.7352
266;33;35.9919
267;33;35.6295
268;33;35.889
269;33;35.7652
270;33;35.7686
271;33;35.7495
272;33;35.6171
273;33;35.7976
274;33;35.7738
275;33;35.8457
276;33;35.861
277;33;35.7705
278;33;35.7567
279;33;35.7695
280;33;35.79
281;33;35.9024
282;33;35.981
283;33;35.7752
284;33;35.6567
285;33;35.9433
286;33;35.801
287;33;35.8595
288;33;35.7343
289;33;35.7562
290;33;35.7124
291;33;35.749
292;33;35.721
293;33;35.8624
294;33;35.9171
295;33;35.7652
296;33;35.5705
297;33;35.6757
298;33;35.8052
299;33;35.7276
300;33;35.8819
301;33;35.8852
302;33;35.6819
303;33;35.7867
304;33;35.71
305;33;35.6195
306;33;35.8676
307;33;35.81
308;33;35.7405
309;33;35.7419
310;33;35.7229
311;33;35.8652
312;33;35.8067
313;33;35.7414
314;33;35.9152
315;33;35.8771
316;33;35.9319
317;33;35.799
318;33;35.9876
319;33;35.8033
320;33;35.6586
321;33;35.691
322;33;35.9833
323;33;35.6476
324;33;35.711
325;33;35.7867
326;33;35.8005
327;33;35.8152
328;33;35.8286
329;33;35.9152
330;33;35.8995
331;33;35.8052
332;33;35.7333
333;33;35.8071
334;33;35.9643
335;33;35.7819
336;33;35.6833
337;33;35.721
338;33;35.8676
339;33;35.8619
340;33;35.8224
341;33;35.8338
342;33;35.579
343;33;35.6319
344;33;35.8076
345;33;35.7833
346;33;35.7286
347;33;35.7162
348;33;35.7614
349;33;35.6414
350;33;35.7571
351;33;35.6848
352;33;35.6524
353;33;35.5438
354;33;35.519
355;33;35.6667
356;33;35.7214
357;33;35.5438
358;33;35.55
359;33;35.5076
360;33;35.4638
361;33;35.8486
362;33;35.6605
363;33;35.7586
364;33;35.6119
365;33;35.621
366;33;35.7357
367;33;35.5976
368;33;35.6752
369;33;35.6519
370;33;35.7524
371;33;35.4567
372;33;35.5843
373;33;35.5119
374;33;35.5595
375;33;35.4243
376;33;35.55
377;33;35.7862
378;33;35.6238
379;33;35.7157
380;33;35.4176
381;33;35.5857
382;33;35.4871
383;33;35.6695
384;33;35.6057
385;33;35.4924
386;33;35.5762
387;33;35.4129
388;33;35.54
389;33;35.3357
390;33;35.6948
391;33;35.5471
392;33;35.6419
393;33;35.4771
394;33;35.5148
395;33;35.6786
